,sms,label
4281,U can call now...,0
585,Tell them u have a headache and just want to use 1 hour of sick time.,0
4545,Never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... Always remember a STUPID FRIEND is here to share... BSLVYL,0
3034,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,0
2758,What time. IÛ÷m out until prob 3 or so,0
777,"\Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx\""""",0
2600,"As usual..iam fine, happy &amp; doing well..:)",0
1018,Nope watching tv at home... Not going out. V bored...,0
2182,PS U no ur a grown up now right?,0
2784,"K, wat s tht incident?",0
5340,Are u awake? Is there snow there?,0
3909,She.s good. She was wondering if you wont say hi but she.s smiling now. So how are you coping with the long distance,0
1433,You intrepid duo you! Have a great time and see you both soon. ,0
2638,Am in gobi arts college,0
517,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz,1
5348,Do I? I thought I put it back in the box,0
1983,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,0
2378,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com",0
217,Easy ah?sen got selected means its good..,0
2627,I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that,0
5212,K.k.how is your business now?,0
1891,Probably earlier than that if the station's where I think it is,0
2910,"Sorry,in meeting I'll call later",0
2619,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,1
1052,"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished",0
5378,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or å£250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022",1
759,"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts",0
3290,"I'm not smoking while people use \wylie smokes too much\"" to justify ruining my shit""",0
